,A,B,R_val,R_z_score,R_p_val
2557,Macro_alveolar_metallothioneins,SMG_Serous,-0.03655468905058735,-9.901557262630481,1.0
3097,Neuroendocrine,SMG_Serous,-0.036683150980292546,-9.936353705606205,1.0
2746,Megakaryocyte,SMG_Serous,-0.03679819652521203,-9.967516056604579,1.0
2656,Macro_int,SMG_Serous,-0.03719487173736305,-10.074963348040813,1.0
1072,CD8_TRM,SMG_Serous,-0.03784669257728393,-10.251521856376662,1.0
380,B_plasma_IgA,Secretory_Club,-0.03798048562229922,-10.28776233689962,1.0
667,CD4_EM_Effector,SMG_Serous,-0.03815167336658254,-10.334131907991747,1.0
136,AT2,Muscle_smooth_pulmonary,-0.038162985839750224,-10.337196114082976,1.0
2611,Macro_dividing,Muscle_smooth_pulmonary,-0.038340419324922194,-10.385257467068556,1.0
2909,Muscle_pericyte_parenchyma,Muscle_smooth_syst_arterial,-0.038487484499505266,-10.425092965202813,1.0
575,Basal,Mesothelia,-0.038496799517441574,-10.42761612121629,1.0
2839,Monocyte_CD16,Muscle_smooth_pulmonary,-0.038962754459206196,-10.553829191482139,1.0
3086,NK_CD56bright,SMG_Serous,-0.03907215854960948,-10.583463443448967,1.0
1762,Endothelia_vascular_Cap_g,Muscle_smooth_syst_arterial,-0.03929634644778908,-10.64418914975554,1.0
1137,Chondrocyte,Schwann_Myelinating,-0.03937183571202112,-10.664636903297444,1.0
2372,Ionocyte_n_Brush,SMG_Serous,-0.0394201673649779,-10.67772848311329,1.0
2674,Macro_CCL,Muscle_smooth_pulmonary,-0.039894287560106406,-10.80615327302021,1.0
2173,Fibro_myofibroblast,Ionocyte_n_Brush,-0.040331054884246084,-10.924460302370946,1.0
2436,Macro_CHIT1,Muscle_smooth_pulmonary,-0.04038899220410658,-10.94015376619574,1.0
2814,Monocyte_CD14,Muscle_smooth_pulmonary,-0.04041977508446471,-10.948491915431616,1.0
2473,Macro_interstitial,Muscle_smooth_pulmonary,-0.04062063925926128,-11.002899932033996,1.0
