,A,B,R_val,R_z_score,R_p_val
2356,Ionocyte_n_Brush,Muscle_pericyte_airway,-0.029956537402840735,-8.114317976385397,0.9999999999999998
2344,Ionocyte_n_Brush,Macro_alveolar_metallothioneins,-0.0301008437215147,-8.153406184076955,0.9999999999999998
1451,Deuterosomal,Endothelia_Lymphatic,-0.030127244401681897,-8.160557328109014,0.9999999999999998
2898,Muscle_pericyte_airway,SMG_Mucous,-0.03015402715602658,-8.167811964454787,0.9999999999999999
1975,Endothelia_vascular_venous_systemic,SMG_Mucous,-0.03016312040333653,-8.170275049527625,0.9999999999999999
1080,Chondrocyte,Ciliated,-0.03019225581678251,-8.178166949913006,0.9999999999999999
1981,Endothelia_vascular_venous_systemic,Suprabasal,-0.03039118829392704,-8.232051728172713,0.9999999999999999
1943,Endothelia_vascular_venous_systemic,Ionocyte_n_Brush,-0.030420456390743242,-8.23997956846135,0.9999999999999999
2161,Fibro_immune_recruiting,SMG_Mucous,-0.03048937038885457,-8.258646281712606,0.9999999999999999
2904,Muscle_pericyte_airway,Suprabasal,-0.03049035070452004,-8.258911819512248,0.9999999999999999
1571,Dividing_Basal,Erythrocyte,-0.030592001695202008,-8.286445991767078,0.9999999999999999
2589,Macro_alv,SMG_Duct,-0.030660044467822178,-8.304876716440305,1.0
552,Basal,Endothelia_vascular_arterial_systemic,-0.03095156560666283,-8.383840956718847,1.0
554,Basal,Endothelia_vascular_venous_systemic,-0.031064335687278045,-8.414386953408293,1.0
1455,Deuterosomal,Endothelia_vascular_arterial_systemic,-0.031104318007893775,-8.425216952167732,1.0
2024,Erythrocyte,SMG_Serous,-0.031118429417633507,-8.429039305338375,1.0
2941,Muscle_perivascular_immune_recruiting,SMG_Mucous,-0.031136371548095832,-8.433899284640631,1.0
1881,Endothelia_vascular_arterial_systemic,Secretory_Goblet,-0.03114476091462793,-8.436171709745926,1.0
580,Basal,Muscle_pericyte_airway,-0.031181527666706656,-8.446130708455083,1.0
468,B_plasmablast,Ciliated,-0.03124023530308543,-8.462032827675785,1.0
2167,Fibro_immune_recruiting,Suprabasal,-0.031523134134588446,-8.53866154624543,1.0
2452,Macro_CHIT1,Secretory_Club,-0.03170990133209454,-8.589251118990212,1.0
1980,Endothelia_vascular_venous_systemic,Secretory_Goblet,-0.031792340427140894,-8.611581371044917,1.0
2903,Muscle_pericyte_airway,Secretory_Goblet,-0.03192315719715424,-8.647015668883068,1.0
1882,Endothelia_vascular_arterial_systemic,Suprabasal,-0.03195073304421169,-8.65448513000547,1.0
941,CD8_EM_EMRA,SMG_Serous,-0.03206080055427961,-8.684299082250678,1.0
2166,Fibro_immune_recruiting,Secretory_Goblet,-0.032231215253421645,-8.730459258845634,1.0
1151,Ciliated,Endothelia_Lymphatic,-0.03223702833658545,-8.732033846875618,1.0
2211,Fibro_myofibroblast,Suprabasal,-0.03225854426455748,-8.737861859598661,1.0
3059,NKT,SMG_Duct,-0.032284124907175527,-8.744790880314634,1.0
2205,Fibro_myofibroblast,SMG_Mucous,-0.0322909252490843,-8.746632886814046,1.0
170,B_memory,Ciliated,-0.032404480175817645,-8.777391474527596,1.0
1159,Ciliated,Fibro_adventitial,-0.03263970935868243,-8.841107930185425,1.0
558,Basal,Fibro_immune_recruiting,-0.032648174257904505,-8.843400814806978,1.0
2659,Macro_int,Secretory_Club,-0.03271916108766996,-8.86262899532419,1.0
2173,Fibro_myofibroblast,Ionocyte_n_Brush,-0.03273652774875365,-8.867333097414702,1.0
1771,Endothelia_vascular_Cap_g,SMG_Basal,-0.03276501870989393,-8.87505043520432,1.0
1457,Deuterosomal,Endothelia_vascular_venous_systemic,-0.03294587812607854,-8.924039769058579,1.0
559,Basal,Fibro_myofibroblast,-0.03294690107814662,-8.924316855767346,1.0
1483,Deuterosomal,Muscle_pericyte_airway,-0.033106010628648604,-8.967414810263596,1.0
2800,Macrophage_intermediate,SMG_Mucous,-0.03314861293355803,-8.978954483354427,1.0
2449,Macro_CHIT1,SMG_Serous,-0.033568859466626945,-9.092786531162174,1.0
2258,Fibro_perichondrial,Ionocyte_n_Brush,-0.03358564045509969,-9.097331992294574,1.0
2947,Muscle_perivascular_immune_recruiting,Suprabasal,-0.03368863240976718,-9.125229391047418,1.0
1718,Endothelia_vascular_Cap_a,SMG_Basal,-0.033688994174795595,-9.125327382228233,1.0
2341,Ionocyte_n_Brush,Macro_CHIT1,-0.033774862109855905,-9.1485864031119,1.0
2210,Fibro_myofibroblast,Secretory_Goblet,-0.033823816894362355,-9.161846770376945,1.0
1829,Endothelia_vascular_arterial_pulmonary,Secretory_Club,-0.03386251216550652,-9.172328146446011,1.0
2946,Muscle_perivascular_immune_recruiting,Secretory_Goblet,-0.03413760130435636,-9.246841455993795,1.0
1930,Endothelia_vascular_venous_pulmonary,Secretory_Club,-0.034521245062569206,-9.350758921551725,1.0
582,Basal,Muscle_perivascular_immune_recruiting,-0.0347571540740651,-9.414659522179583,1.0
1462,Deuterosomal,Fibro_myofibroblast,-0.034856887193838934,-9.441674201337564,1.0
2623,Macro_dividing,SMG_Mucous,-0.03524213685314856,-9.546026656826497,1.0
2656,Macro_int,SMG_Serous,-0.03531665189705753,-9.566210523612261,1.0
806,CD4_naive_CM,SMG_Serous,-0.0354090705874511,-9.591243945557196,1.0
1155,Ciliated,Endothelia_vascular_arterial_systemic,-0.03542098371375038,-9.59447085037551,1.0
74,AT1,Secretory_Club,-0.03548601944331548,-9.61208705823094,1.0
1461,Deuterosomal,Fibro_immune_recruiting,-0.03562536781107456,-9.649832307299018,1.0
2022,Erythrocyte,SMG_Duct,-0.03640183185502642,-9.860152881574002,1.0
804,CD4_naive_CM,SMG_Duct,-0.036439391595637555,-9.870326676840488,1.0
1927,Endothelia_vascular_venous_pulmonary,SMG_Serous,-0.03653186075148705,-9.895373768347786,1.0
1826,Endothelia_vascular_arterial_pulmonary,SMG_Serous,-0.036562368708478475,-9.90363744917676,1.0
1157,Ciliated,Endothelia_vascular_venous_systemic,-0.036741229765967574,-9.952085488232218,1.0
2114,Fibro_alveolar,SMG_Basal,-0.03674290701749615,-9.952539804832504,1.0
1183,Ciliated,Muscle_pericyte_airway,-0.03693760023594144,-10.005276296405832,1.0
939,CD8_EM_EMRA,SMG_Duct,-0.03719668167562341,-10.075453605454902,1.0
2447,Macro_CHIT1,SMG_Duct,-0.0373582549818226,-10.119218916691167,1.0
2691,Macro_CCL,Secretory_Goblet,-0.03737220427086583,-10.122997356279132,1.0
2654,Macro_int,SMG_Duct,-0.03743867751586509,-10.141002943493461,1.0
2590,Macro_alv,SMG_Mucous,-0.037760384312814796,-10.228143563602874,1.0
572,Basal,Macro_CCL,-0.037877185395940705,-10.259781436689634,1.0
2485,Macro_interstitial,SMG_Mucous,-0.03807783097809288,-10.314130243170363,1.0
2692,Macro_CCL,Suprabasal,-0.03809388095805606,-10.318477696254961,1.0
1485,Deuterosomal,Muscle_perivascular_immune_recruiting,-0.038159824002711826,-10.336339668267025,1.0
2924,Muscle_pericyte_parenchyma,Secretory_Club,-0.03852594340055455,-10.435510315777737,1.0
152,AT2,Secretory_Club,-0.03878307216069468,-10.505158703126167,1.0
1162,Ciliated,Fibro_myofibroblast,-0.03880034238379225,-10.509836683089349,1.0
2290,Fibro_perichondrial,SMG_Mucous,-0.03916845259130318,-10.609546580596183,1.0
1925,Endothelia_vascular_venous_pulmonary,SMG_Duct,-0.03945693111639883,-10.687686669035202,1.0
1793,Endothelia_vascular_arterial_pulmonary,Ionocyte_n_Brush,-0.03967925369433884,-10.747907116628184,1.0
1161,Ciliated,Fibro_immune_recruiting,-0.040407641547912564,-10.945205308156607,1.0
1475,Deuterosomal,Macro_CCL,-0.04050781735958092,-10.972339899130478,1.0
2830,Monocyte_CD14,Secretory_Club,-0.04050802664581339,-10.972396588427225,1.0
1777,Endothelia_vascular_Cap_g,Secretory_Club,-0.04058021670492031,-10.99195068730222,1.0
1724,Endothelia_vascular_Cap_a,Secretory_Club,-0.04067586345778407,-11.017858493525233,1.0
2806,Macrophage_intermediate,Suprabasal,-0.04097585748217381,-11.099117781679245,1.0
2851,Monocyte_CD16,SMG_Mucous,-0.04099217654365043,-11.103538120789763,1.0
